商品,订单号,订单状态,商品总价(元),邮费(元),店铺优惠折扣(元),平台优惠折扣(元),多多支付立减金额(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家编码-规格维度,商家编码-商品维度,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260614-680882389303200,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-14 09:08:44,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000235392,快捷快物流,2026-06-14 01:55:16,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260614-221941603852414,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-14 09:08:44,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000235393,快捷快物流,2026-06-14 01:00:50,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260613-446232040990767,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-14 09:08:44,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000235394,快捷快物流,2026-06-13 18:46:53,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260612-520953546333538,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-13 09:55:59,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000232117,快捷快物流,2026-06-12 18:03:51,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260612-380979177831285,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-12 09:04:55,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000226481,快捷快物流,2026-06-12 01:33:08,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260611-227929003661255,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-12 09:04:56,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000226482,快捷快物流,2026-06-11 22:24:18,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260611-256576131451056,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-12 09:04:56,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000226483,快捷快物流,2026-06-11 17:46:32,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260611-237282343302832,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-12 09:04:56,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000226484,快捷快物流,2026-06-11 17:31:56,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260611-356704601723282,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-11 14:05:29,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000224034,快捷快物流,2026-06-11 11:14:49,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260610-408630126923971,已发货，待收货,168.99	,0.0	,0.0	,28.0	,0.0	,140.99	,168.99	,1	,2026-06-11 08:54:52,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000221189,快捷快物流,2026-06-10 20:14:56,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260610-307526449563920,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-11 09:35:46,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000221664,快捷快物流,2026-06-10 14:37:30,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260610-110918387242229,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.16	,168.99	,168.99	,1	,2026-06-10 08:42:20,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000215839,快捷快物流,2026-06-10 08:35:03,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260609-524906698263785,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-10 08:42:21,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000215838,快捷快物流,2026-06-09 23:41:06,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260609-589865950763193,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-09 16:20:09,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000215046,快捷快物流,2026-06-09 11:48:57,否,,	,
趣白全自动洗面奶打泡机感应泡沫机绵密泡沫礼品新品懒人洗脸神器,260608-618014983762270,已发货，待收货,168.99	,0.0	,0.0	,0.0	,0.0	,168.99	,168.99	,1	,2026-06-09 09:44:47,	,928653435663	,	,1877214163146	,	,QBPH004,	,无售后或售后取消,KJE000000211347,快捷快物流,2026-06-08 21:52:34,否,,	,
